,Benin
population_Grid,13377456.693140201
population_SA_Diesel,0.0
population_SA_PV,2113441.5880198427
population_MG_Wind,0.0
population_MG_Diesel,0.0
population_MG_PV,14930.224447
population_MG_Hydro,0.0
new_connections_Grid,8833391.5006162
new_connections_SA_Diesel,0.0
new_connections_SA_PV,2113441.5880198427
new_connections_MG_Wind,0.0
new_connections_MG_Diesel,0.0
new_connections_MG_PV,14930.224447
new_connections_MG_Hydro,0.0
capacity_Grid,479341.8395864117
capacity_SA_Diesel,0.0
capacity_SA_PV,57745.22948066512
capacity_MG_Wind,0.0
capacity_MG_Diesel,0.0
capacity_MG_PV,385.7507616191315
capacity_MG_Hydro,0.0
investment_Grid,4039227458.2661486
investment_SA_Diesel,0.0
investment_SA_PV,370172828.9945946
investment_MG_Wind,0.0
investment_MG_Diesel,0.0
investment_MG_PV,3165586.2259244043
investment_MG_Hydro,0.0
